Sentence,Tags
"['fake_misc_84', 'lives', 'near', 'moscow']","['I-MISC', 'O', 'O', 'B-LOC']"
"['fake_prod_96', 'was', 'born', 'fake_per_52', 'fake_date_60', 'york']","['I-PROD', 'O', 'O', 'B-PER', 'B-DATE', 'I-LOC']"
"['david', 'was', 'born', 'to', 'canada']","['B-PER', 'O', 'O', 'O', 'B-LOC']"
"['michael', 'moved', 'around', 'fake_loc_61']","['B-PER', 'O', 'O', 'B-LOC']"
"['charlie', 'was', 'born', 'in', 'tokyo']","['B-PER', 'O', 'O', 'O', 'B-LOC']"
"['fake_prod_11', 'travels', 'fake_date_3', 'canada']","['I-PROD', 'O', 'B-DATE', 'B-LOC']"
"['fake_misc_69', 'fake_prod_75', 'from', 'canada']","['I-MISC', 'B-PROD', 'O', 'B-LOC']"
"['fake_prod_23', 'was', 'born', 'near', 'berlin']","['I-PROD', 'O', 'O', 'O', 'B-LOC']"
"['fake_loc_9', 'travels', 'fake_date_97', 'paris']","['I-LOC', 'O', 'I-DATE', 'B-LOC']"
"['fake_misc_93', 'fake_prod_97', 'around', 'fake_date_67']","['I-MISC', 'I-PROD', 'O', 'B-DATE']"
"['fake_misc_96', 'moved', 'in', 'fake_org_28', 'york']","['I-MISC', 'O', 'O', 'B-ORG', 'I-LOC']"
"['michael', 'moved', 'fake_date_75', 'fake_misc_41']","['B-PER', 'O', 'B-DATE', 'I-MISC']"
"['emma', 'travels', 'fake_loc_48', 'fake_per_86']","['B-PER', 'O', 'B-LOC', 'B-PER']"
"['fake_date_25', 'was', 'born', 'in', 'london']","['I-DATE', 'O', 'O', 'O', 'B-LOC']"
"['fake_per_66', 'fake_loc_25', 'from', 'tokyo']","['B-PER', 'B-LOC', 'O', 'B-LOC']"
"['bob', 'fake_prod_38', 'fake_loc_25', 'fake_date_84']","['B-PER', 'I-PROD', 'B-LOC', 'B-DATE']"
"['fake_prod_4', 'moved', 'from', 'beijing']","['I-PROD', 'O', 'O', 'B-LOC']"
"['fake_misc_81', 'travels', 'fake_per_23', 'beijing']","['I-MISC', 'O', 'B-PER', 'B-LOC']"
"['fake_misc_73', 'moved', 'fake_prod_97', 'fake_org_2']","['I-MISC', 'O', 'I-PROD', 'I-ORG']"
"['michael', 'studies', 'in', 'tokyo']","['B-PER', 'O', 'O', 'B-LOC']"
"['emma', 'was', 'born', 'fake_misc_2', 'paris']","['B-PER', 'O', 'O', 'B-MISC', 'B-LOC']"
"['fake_date_19', 'fake_date_23', 'in', 'fake_loc_93']","['I-DATE', 'B-DATE', 'O', 'I-LOC']"
"['linda', 'fake_date_100', 'fake_per_65', 'paris']","['B-PER', 'B-DATE', 'B-PER', 'B-LOC']"
"['fake_date_34', 'travels', 'to', 'tokyo']","['B-DATE', 'O', 'O', 'B-LOC']"
"['michael', 'studies', 'from', 'canada']","['B-PER', 'O', 'O', 'B-LOC']"
"['fake_org_10', 'fake_prod_68', 'fake_date_88', 'fake_date_17']","['I-ORG', 'B-PROD', 'I-DATE', 'I-DATE']"
"['fake_date_15', 'fake_date_36', 'around', 'word_8']","['I-DATE', 'B-DATE', 'O', 'O']"
"['fake_per_84', 'fake_prod_56', 'near', 'london']","['I-PER', 'I-PROD', 'O', 'B-LOC']"
"['emma', 'travels', 'fake_loc_87', 'fake_loc_78']","['B-PER', 'O', 'I-LOC', 'I-LOC']"
"['fake_prod_41', 'fake_date_29', 'from', 'fake_per_39']","['B-PROD', 'I-DATE', 'O', 'B-PER']"
"['sarah', 'moved', 'fake_org_57', 'fake_date_62']","['B-PER', 'O', 'B-ORG', 'I-DATE']"
"['jhon', 'fake_per_2', 'from', 'fake_prod_23']","['B-PER', 'B-PER', 'O', 'B-PROD']"
"['sarah', 'studies', 'in', 'fake_date_2']","['B-PER', 'O', 'O', 'B-DATE']"
"['fake_per_8', 'works', 'to', 'paris']","['B-PER', 'O', 'O', 'B-LOC']"
"['alice', 'fake_loc_6', 'to', 'canada']","['B-PER', 'I-LOC', 'O', 'B-LOC']"
"['emma', 'fake_prod_24', 'fake_date_82', 'fake_org_63']","['B-PER', 'B-PROD', 'I-DATE', 'I-ORG']"
"['emma', 'word_80', 'fake_org_86', 'moscow']","['B-PER', 'O', 'I-ORG', 'B-LOC']"
"['sarah', 'was', 'born', 'fake_org_87', 'fake_per_12']","['B-PER', 'O', 'O', 'B-ORG', 'I-PER']"
"['word_2', 'fake_prod_84', 'to', 'new', 'fake_misc_20']","['O', 'B-PROD', 'O', 'B-LOC', 'B-MISC']"
"['alice', 'was', 'born', 'near', 'fake_org_84', 'york']","['B-PER', 'O', 'O', 'O', 'B-ORG', 'I-LOC']"
"['sarah', 'studies', 'fake_per_4', 'fake_prod_5']","['B-PER', 'O', 'B-PER', 'I-PROD']"
"['fake_prod_38', 'moved', 'fake_prod_60', 'fake_loc_12']","['B-PROD', 'O', 'B-PROD', 'B-LOC']"
"['fake_date_10', 'fake_per_46', 'around', 'fake_org_31']","['B-DATE', 'B-PER', 'O', 'I-ORG']"
"['david', 'works', 'near', 'fake_org_27']","['B-PER', 'O', 'O', 'I-ORG']"
"['fake_org_10', 'moved', 'from', 'fake_prod_81']","['B-ORG', 'O', 'O', 'I-PROD']"
"['alice', 'fake_loc_26', 'to', 'rome']","['B-PER', 'B-LOC', 'O', 'B-LOC']"
"['fake_date_71', 'fake_per_18', 'fake_org_88', 'canada']","['B-DATE', 'I-PER', 'I-ORG', 'B-LOC']"
"['bob', 'lives', 'near', 'berlin']","['B-PER', 'O', 'O', 'B-LOC']"
"['bob', 'works', 'in', 'beijing']","['B-PER', 'O', 'O', 'B-LOC']"
"['fake_loc_78', 'fake_loc_99', 'from', 'paris']","['I-LOC', 'I-LOC', 'O', 'B-LOC']"
"['fake_prod_87', 'fake_date_91', 'fake_prod_98', 'fake_per_79']","['I-PROD', 'B-DATE', 'B-PROD', 'B-PER']"
"['mary', 'fake_org_24', 'fake_misc_33', 'new', 'fake_misc_40']","['B-PER', 'I-ORG', 'B-MISC', 'B-LOC', 'B-MISC']"
"['linda', 'lives', 'fake_per_91', 'fake_org_99']","['B-PER', 'O', 'B-PER', 'I-ORG']"
"['fake_date_50', 'fake_prod_74', 'fake_prod_59', 'fake_loc_46']","['B-DATE', 'I-PROD', 'B-PROD', 'I-LOC']"
"['michael', 'fake_per_11', 'fake_misc_67', 'fake_date_39']","['B-PER', 'I-PER', 'I-MISC', 'I-DATE']"
"['michael', 'fake_per_80', 'around', 'madrid']","['B-PER', 'I-PER', 'O', 'B-LOC']"
"['david', 'studies', 'around', 'paris']","['B-PER', 'O', 'O', 'B-LOC']"
"['jhon', 'fake_per_6', 'near', 'beijing']","['B-PER', 'I-PER', 'O', 'B-LOC']"
"['fake_prod_17', 'was', 'born', 'from', 'moscow']","['I-PROD', 'O', 'O', 'O', 'B-LOC']"
"['fake_org_22', 'fake_per_62', 'fake_loc_3', 'rome']","['I-ORG', 'I-PER', 'I-LOC', 'B-LOC']"
"['mary', 'fake_org_91', 'near', 'paris']","['B-PER', 'I-ORG', 'O', 'B-LOC']"
"['fake_misc_56', 'fake_loc_63', 'fake_org_95', 'new', 'fake_per_66']","['B-MISC', 'B-LOC', 'I-ORG', 'B-LOC', 'B-PER']"
"['fake_prod_33', 'moved', 'in', 'fake_prod_96']","['I-PROD', 'O', 'O', 'B-PROD']"
"['fake_loc_64', 'word_51', 'to', 'paris']","['B-LOC', 'O', 'O', 'B-LOC']"
"['bob', 'lives', 'to', 'london']","['B-PER', 'O', 'O', 'B-LOC']"
"['charlie', 'travels', 'in', 'fake_loc_70']","['B-PER', 'O', 'O', 'I-LOC']"
"['fake_misc_79', 'moved', 'from', 'moscow']","['B-MISC', 'O', 'O', 'B-LOC']"
"['emma', 'works', 'fake_org_11', 'fake_loc_21']","['B-PER', 'O', 'B-ORG', 'I-LOC']"
"['sarah', 'lives', 'near', 'fake_loc_71']","['B-PER', 'O', 'O', 'I-LOC']"
"['linda', 'travels', 'near', 'london']","['B-PER', 'O', 'O', 'B-LOC']"
"['michael', 'fake_prod_98', 'near', 'paris']","['B-PER', 'I-PROD', 'O', 'B-LOC']"
"['jhon', 'works', 'in', 'fake_loc_69']","['B-PER', 'O', 'O', 'I-LOC']"
"['fake_org_96', 'fake_loc_98', 'fake_date_48', 'fake_per_21']","['B-ORG', 'B-LOC', 'B-DATE', 'I-PER']"
"['fake_prod_99', 'was', 'born', 'fake_prod_99', 'fake_org_31']","['I-PROD', 'O', 'O', 'B-PROD', 'I-ORG']"
"['charlie', 'fake_misc_32', 'fake_loc_79', 'word_76']","['B-PER', 'B-MISC', 'I-LOC', 'O']"
"['michael', 'was', 'born', 'fake_per_19', 'fake_prod_75', 'york']","['B-PER', 'O', 'O', 'B-PER', 'B-PROD', 'I-LOC']"
"['sarah', 'studies', 'from', 'london']","['B-PER', 'O', 'O', 'B-LOC']"
"['fake_misc_58', 'fake_prod_29', 'in', 'london']","['B-MISC', 'I-PROD', 'O', 'B-LOC']"
"['alice', 'fake_prod_73', 'to', 'fake_org_95']","['B-PER', 'B-PROD', 'O', 'B-ORG']"
"['fake_org_72', 'studies', 'around', 'fake_per_9', 'york']","['B-ORG', 'O', 'O', 'B-PER', 'I-LOC']"
"['word_24', 'fake_misc_79', 'in', 'moscow']","['O', 'I-MISC', 'O', 'B-LOC']"
"['fake_org_28', 'fake_loc_9', 'around', 'fake_per_36']","['I-ORG', 'I-LOC', 'O', 'I-PER']"
"['fake_misc_100', 'travels', 'around', 'berlin']","['I-MISC', 'O', 'O', 'B-LOC']"
"['sarah', 'travels', 'in', 'paris']","['B-PER', 'O', 'O', 'B-LOC']"
"['alice', 'moved', 'from', 'london']","['B-PER', 'O', 'O', 'B-LOC']"
"['fake_org_20', 'lives', 'around', 'new', 'york']","['I-ORG', 'O', 'O', 'B-LOC', 'I-LOC']"
"['linda', 'moved', 'near', 'fake_loc_37']","['B-PER', 'O', 'O', 'I-LOC']"
"['david', 'works', 'in', 'beijing']","['B-PER', 'O', 'O', 'B-LOC']"
"['michael', 'moved', 'near', 'paris']","['B-PER', 'O', 'O', 'B-LOC']"
"['charlie', 'travels', 'to', 'fake_loc_6']","['B-PER', 'O', 'O', 'I-LOC']"
"['emma', 'fake_prod_45', 'fake_date_81', 'moscow']","['B-PER', 'I-PROD', 'B-DATE', 'B-LOC']"
"['david', 'lives', 'around', 'rome']","['B-PER', 'O', 'O', 'B-LOC']"
"['linda', 'works', 'to', 'fake_loc_17']","['B-PER', 'O', 'O', 'I-LOC']"
"['alice', 'lives', 'word_45', 'beijing']","['B-PER', 'O', 'O', 'B-LOC']"
"['fake_misc_58', 'works', 'fake_date_69', 'fake_misc_38']","['B-MISC', 'O', 'I-DATE', 'B-MISC']"
"['fake_date_45', 'fake_misc_18', 'word_57', 'fake_prod_76']","['B-DATE', 'I-MISC', 'O', 'B-PROD']"
"['linda', 'moved', 'to', 'new', 'york']","['B-PER', 'O', 'O', 'B-LOC', 'I-LOC']"
"['charlie', 'was', 'born', 'from', 'canada']","['B-PER', 'O', 'O', 'O', 'B-LOC']"
"['fake_org_98', 'fake_per_87', 'fake_date_52', 'paris']","['B-ORG', 'I-PER', 'I-DATE', 'B-LOC']"
"['jhon', 'fake_date_21', 'from', 'fake_per_96']","['B-PER', 'I-DATE', 'O', 'I-PER']"
"['fake_prod_23', 'travels', 'near', 'paris']","['I-PROD', 'O', 'O', 'B-LOC']"
"['linda', 'fake_date_60', 'near', 'fake_date_47']","['B-PER', 'I-DATE', 'O', 'I-DATE']"
"['linda', 'lives', 'fake_per_80', 'fake_loc_62']","['B-PER', 'O', 'B-PER', 'B-LOC']"
"['sarah', 'works', 'near', 'fake_date_49']","['B-PER', 'O', 'O', 'B-DATE']"
"['jhon', 'travels', 'around', 'madrid']","['B-PER', 'O', 'O', 'B-LOC']"
"['emma', 'lives', 'fake_org_10', 'berlin']","['B-PER', 'O', 'B-ORG', 'B-LOC']"
"['fake_prod_15', 'fake_misc_17', 'fake_misc_5', 'word_11']","['I-PROD', 'B-MISC', 'I-MISC', 'O']"
"['michael', 'lives', 'near', 'beijing']","['B-PER', 'O', 'O', 'B-LOC']"
"['fake_prod_57', 'fake_date_90', 'fake_prod_46', 'paris']","['I-PROD', 'I-DATE', 'I-PROD', 'B-LOC']"
"['jhon', 'fake_per_13', 'around', 'beijing']","['B-PER', 'B-PER', 'O', 'B-LOC']"
"['jhon', 'works', 'word_54', 'berlin']","['B-PER', 'O', 'O', 'B-LOC']"
"['charlie', 'fake_misc_49', 'fake_misc_83', 'fake_per_4']","['B-PER', 'B-MISC', 'B-MISC', 'B-PER']"
"['bob', 'moved', 'around', 'beijing']","['B-PER', 'O', 'O', 'B-LOC']"
"['jhon', 'fake_prod_47', 'around', 'moscow']","['B-PER', 'I-PROD', 'O', 'B-LOC']"
"['bob', 'fake_loc_100', 'fake_org_18', 'fake_date_89']","['B-PER', 'I-LOC', 'B-ORG', 'I-DATE']"
"['fake_misc_12', 'moved', 'around', 'rome']","['I-MISC', 'O', 'O', 'B-LOC']"
"['alice', 'works', 'to', 'new', 'york']","['B-PER', 'O', 'O', 'B-LOC', 'I-LOC']"
"['charlie', 'fake_loc_91', 'in', 'fake_org_54']","['B-PER', 'I-LOC', 'O', 'B-ORG']"
"['fake_prod_10', 'fake_per_95', 'around', 'beijing']","['I-PROD', 'B-PER', 'O', 'B-LOC']"
"['fake_date_78', 'fake_loc_90', 'fake_misc_78', 'word_82', 'york']","['I-DATE', 'I-LOC', 'I-MISC', 'O', 'I-LOC']"
"['fake_date_13', 'was', 'born', 'word_35', 'fake_per_15']","['B-DATE', 'O', 'O', 'O', 'B-PER']"
"['charlie', 'travels', 'in', 'madrid']","['B-PER', 'O', 'O', 'B-LOC']"
"['jhon', 'was', 'born', 'to', 'rome']","['B-PER', 'O', 'O', 'O', 'B-LOC']"
"['fake_org_45', 'fake_loc_70', 'from', 'fake_per_65']","['I-ORG', 'I-LOC', 'O', 'I-PER']"
"['alice', 'fake_per_45', 'in', 'fake_prod_1']","['B-PER', 'I-PER', 'O', 'I-PROD']"
"['michael', 'studies', 'from', 'fake_misc_33']","['B-PER', 'O', 'O', 'B-MISC']"
"['sarah', 'fake_per_23', 'to', 'word_75']","['B-PER', 'I-PER', 'O', 'O']"
"['charlie', 'fake_org_25', 'fake_misc_77', 'new', 'york']","['B-PER', 'I-ORG', 'I-MISC', 'B-LOC', 'I-LOC']"
"['fake_org_24', 'fake_org_3', 'to', 'fake_prod_22']","['B-ORG', 'I-ORG', 'O', 'I-PROD']"
"['fake_misc_12', 'moved', 'near', 'fake_date_56']","['B-MISC', 'O', 'O', 'I-DATE']"
"['fake_org_62', 'word_16', 'fake_prod_62', 'rome']","['I-ORG', 'O', 'I-PROD', 'B-LOC']"
"['sarah', 'fake_prod_18', 'to', 'new', 'fake_misc_22']","['B-PER', 'B-PROD', 'O', 'B-LOC', 'I-MISC']"
"['charlie', 'works', 'fake_org_64', 'new', 'fake_misc_76']","['B-PER', 'O', 'B-ORG', 'B-LOC', 'B-MISC']"
"['fake_org_11', 'lives', 'fake_org_58', 'fake_org_21']","['B-ORG', 'O', 'I-ORG', 'B-ORG']"
"['mary', 'works', 'fake_loc_16', 'rome']","['B-PER', 'O', 'B-LOC', 'B-LOC']"
"['sarah', 'lives', 'near', 'canada']","['B-PER', 'O', 'O', 'B-LOC']"
"['fake_org_64', 'was', 'born', 'near', 'new', 'fake_misc_25']","['B-ORG', 'O', 'O', 'O', 'B-LOC', 'I-MISC']"
"['fake_misc_95', 'works', 'fake_misc_10', 'fake_prod_75']","['I-MISC', 'O', 'B-MISC', 'I-PROD']"
"['emma', 'fake_prod_72', 'near', 'fake_loc_29']","['B-PER', 'B-PROD', 'O', 'I-LOC']"
"['emma', 'travels', 'from', 'word_65', 'york']","['B-PER', 'O', 'O', 'O', 'I-LOC']"
"['fake_org_85', 'fake_loc_86', 'fake_loc_38', 'fake_org_98']","['I-ORG', 'B-LOC', 'B-LOC', 'I-ORG']"
"['michael', 'studies', 'around', 'london']","['B-PER', 'O', 'O', 'B-LOC']"
"['fake_org_92', 'studies', 'fake_loc_7', 'berlin']","['I-ORG', 'O', 'I-LOC', 'B-LOC']"
"['fake_date_70', 'fake_date_32', 'in', 'fake_per_15', 'fake_misc_18']","['B-DATE', 'I-DATE', 'O', 'I-PER', 'I-MISC']"
"['fake_prod_87', 'fake_per_74', 'around', 'london']","['I-PROD', 'I-PER', 'O', 'B-LOC']"
"['alice', 'lives', 'near', 'fake_date_76']","['B-PER', 'O', 'O', 'B-DATE']"
"['fake_prod_16', 'works', 'fake_misc_57', 'new', 'fake_prod_24']","['I-PROD', 'O', 'B-MISC', 'B-LOC', 'I-PROD']"
"['alice', 'moved', 'in', 'rome']","['B-PER', 'O', 'O', 'B-LOC']"
"['fake_per_49', 'was', 'born', 'fake_misc_53', 'fake_misc_13']","['I-PER', 'O', 'O', 'I-MISC', 'B-MISC']"
"['david', 'fake_prod_7', 'to', 'word_55']","['B-PER', 'I-PROD', 'O', 'O']"
"['bob', 'fake_misc_86', 'around', 'fake_per_64']","['B-PER', 'I-MISC', 'O', 'B-PER']"
"['fake_loc_94', 'fake_date_95', 'fake_per_73', 'fake_per_23']","['B-LOC', 'I-DATE', 'B-PER', 'I-PER']"
"['fake_loc_26', 'was', 'born', 'in', 'fake_loc_31']","['B-LOC', 'O', 'O', 'O', 'I-LOC']"
"['fake_loc_44', 'moved', 'from', 'new', 'fake_misc_97']","['I-LOC', 'O', 'O', 'B-LOC', 'B-MISC']"
"['word_47', 'fake_org_27', 'fake_loc_26', 'new', 'fake_misc_33']","['O', 'I-ORG', 'I-LOC', 'B-LOC', 'I-MISC']"
"['emma', 'moved', 'fake_date_43', 'fake_org_41']","['B-PER', 'O', 'B-DATE', 'B-ORG']"
"['david', 'lives', 'fake_loc_92', 'moscow']","['B-PER', 'O', 'B-LOC', 'B-LOC']"
"['fake_per_85', 'studies', 'fake_org_9', 'fake_per_31']","['I-PER', 'O', 'I-ORG', 'I-PER']"
"['word_77', 'fake_loc_11', 'from', 'fake_org_5']","['O', 'I-LOC', 'O', 'B-ORG']"
"['fake_org_45', 'travels', 'fake_loc_26', 'fake_misc_92']","['I-ORG', 'O', 'I-LOC', 'I-MISC']"
"['alice', 'was', 'born', 'in', 'new', 'york']","['B-PER', 'O', 'O', 'O', 'B-LOC', 'I-LOC']"
"['jhon', 'fake_misc_17', 'fake_loc_38', 'london']","['B-PER', 'B-MISC', 'B-LOC', 'B-LOC']"
"['bob', 'lives', 'from', 'fake_per_100']","['B-PER', 'O', 'O', 'I-PER']"
"['fake_per_5', 'fake_prod_57', 'fake_per_34', 'canada']","['B-PER', 'B-PROD', 'B-PER', 'B-LOC']"
"['mary', 'lives', 'in', 'new', 'fake_date_70']","['B-PER', 'O', 'O', 'B-LOC', 'I-DATE']"
"['david', 'fake_date_86', 'to', 'fake_prod_90']","['B-PER', 'B-DATE', 'O', 'I-PROD']"
"['charlie', 'travels', 'from', 'canada']","['B-PER', 'O', 'O', 'B-LOC']"
"['alice', 'moved', 'fake_org_35', 'fake_prod_98']","['B-PER', 'O', 'I-ORG', 'B-PROD']"
"['fake_loc_8', 'works', 'around', 'fake_misc_35']","['B-LOC', 'O', 'O', 'B-MISC']"
"['fake_misc_44', 'fake_misc_84', 'fake_per_100', 'madrid']","['B-MISC', 'B-MISC', 'B-PER', 'B-LOC']"
"['mary', 'was', 'born', 'in', 'london']","['B-PER', 'O', 'O', 'O', 'B-LOC']"
"['charlie', 'was', 'born', 'fake_loc_20', 'fake_misc_90']","['B-PER', 'O', 'O', 'I-LOC', 'I-MISC']"
"['fake_date_27', 'fake_misc_40', 'near', 'fake_prod_12']","['I-DATE', 'I-MISC', 'O', 'B-PROD']"
"['fake_per_74', 'fake_loc_39', 'around', 'berlin']","['I-PER', 'I-LOC', 'O', 'B-LOC']"
"['sarah', 'moved', 'from', 'fake_org_27']","['B-PER', 'O', 'O', 'I-ORG']"
"['alice', 'fake_loc_35', 'in', 'paris']","['B-PER', 'B-LOC', 'O', 'B-LOC']"
"['fake_loc_30', 'studies', 'fake_prod_60', 'fake_prod_51']","['B-LOC', 'O', 'B-PROD', 'B-PROD']"
"['fake_loc_57', 'lives', 'near', 'canada']","['B-LOC', 'O', 'O', 'B-LOC']"
"['fake_prod_59', 'fake_prod_49', 'around', 'new', 'fake_misc_28']","['B-PROD', 'I-PROD', 'O', 'B-LOC', 'B-MISC']"
"['charlie', 'lives', 'fake_prod_79', 'word_71']","['B-PER', 'O', 'B-PROD', 'O']"
"['fake_date_19', 'fake_date_56', 'fake_prod_91', 'moscow']","['B-DATE', 'B-DATE', 'I-PROD', 'B-LOC']"
"['david', 'moved', 'fake_org_91', 'fake_date_93']","['B-PER', 'O', 'B-ORG', 'B-DATE']"
"['david', 'fake_prod_58', 'fake_date_50', 'canada']","['B-PER', 'I-PROD', 'B-DATE', 'B-LOC']"
"['michael', 'fake_org_42', 'around', 'moscow']","['B-PER', 'B-ORG', 'O', 'B-LOC']"
"['fake_date_28', 'lives', 'fake_org_52', 'canada']","['I-DATE', 'O', 'I-ORG', 'B-LOC']"
"['fake_misc_59', 'fake_prod_70', 'fake_loc_42', 'fake_loc_41']","['I-MISC', 'I-PROD', 'B-LOC', 'B-LOC']"
"['fake_date_32', 'works', 'fake_org_32', 'new', 'york']","['I-DATE', 'O', 'B-ORG', 'B-LOC', 'I-LOC']"
"['fake_loc_48', 'lives', 'fake_org_86', 'fake_per_70']","['I-LOC', 'O', 'B-ORG', 'I-PER']"
"['fake_date_51', 'works', 'fake_loc_67', 'paris']","['B-DATE', 'O', 'B-LOC', 'B-LOC']"
"['fake_misc_80', 'travels', 'to', 'paris']","['I-MISC', 'O', 'O', 'B-LOC']"
"['fake_loc_22', 'fake_date_91', 'in', 'fake_misc_56']","['B-LOC', 'B-DATE', 'O', 'I-MISC']"
"['fake_org_86', 'fake_org_50', 'fake_org_40', 'canada']","['I-ORG', 'I-ORG', 'I-ORG', 'B-LOC']"
"['michael', 'fake_per_62', 'fake_misc_45', 'fake_org_67']","['B-PER', 'B-PER', 'I-MISC', 'B-ORG']"
"['bob', 'fake_loc_50', 'from', 'fake_per_44']","['B-PER', 'B-LOC', 'O', 'B-PER']"
"['fake_loc_14', 'fake_per_31', 'fake_loc_38', 'fake_misc_71']","['B-LOC', 'I-PER', 'B-LOC', 'B-MISC']"
"['alice', 'studies', 'near', 'canada']","['B-PER', 'O', 'O', 'B-LOC']"
"['bob', 'fake_loc_87', 'around', 'fake_misc_12']","['B-PER', 'I-LOC', 'O', 'B-MISC']"
"['fake_org_71', 'fake_misc_34', 'from', 'berlin']","['B-ORG', 'B-MISC', 'O', 'B-LOC']"
"['fake_prod_98', 'fake_org_1', 'from', 'madrid']","['I-PROD', 'I-ORG', 'O', 'B-LOC']"
"['sarah', 'was', 'born', 'in', 'rome']","['B-PER', 'O', 'O', 'O', 'B-LOC']"
"['mary', 'travels', 'near', 'fake_misc_7', 'fake_misc_82']","['B-PER', 'O', 'O', 'B-MISC', 'I-MISC']"
"['linda', 'works', 'fake_per_87', 'london']","['B-PER', 'O', 'I-PER', 'B-LOC']"
"['fake_date_19', 'fake_per_21', 'fake_per_39', 'fake_misc_59']","['B-DATE', 'B-PER', 'I-PER', 'I-MISC']"
"['emma', 'lives', 'to', 'fake_org_36']","['B-PER', 'O', 'O', 'B-ORG']"
"['fake_org_54', 'fake_prod_72', 'fake_loc_45', 'beijing']","['B-ORG', 'I-PROD', 'I-LOC', 'B-LOC']"
"['fake_org_6', 'fake_loc_40', 'fake_prod_76', 'fake_org_92']","['B-ORG', 'B-LOC', 'B-PROD', 'I-ORG']"
"['michael', 'fake_date_2', 'fake_prod_95', 'fake_prod_68']","['B-PER', 'B-DATE', 'B-PROD', 'B-PROD']"
"['jhon', 'moved', 'to', 'paris']","['B-PER', 'O', 'O', 'B-LOC']"
"['fake_date_36', 'moved', 'in', 'canada']","['I-DATE', 'O', 'O', 'B-LOC']"
"['michael', 'fake_date_44', 'fake_loc_69', 'word_37']","['B-PER', 'I-DATE', 'B-LOC', 'O']"
"['word_42', 'was', 'born', 'around', 'fake_per_11']","['O', 'O', 'O', 'O', 'I-PER']"
"['fake_loc_76', 'moved', 'near', 'fake_date_26']","['B-LOC', 'O', 'O', 'I-DATE']"
"['jhon', 'fake_prod_33', 'fake_misc_13', 'fake_per_1']","['B-PER', 'B-PROD', 'B-MISC', 'I-PER']"
"['jhon', 'travels', 'fake_per_28', 'rome']","['B-PER', 'O', 'B-PER', 'B-LOC']"
"['charlie', 'moved', 'from', 'paris']","['B-PER', 'O', 'O', 'B-LOC']"
"['charlie', 'studies', 'near', 'tokyo']","['B-PER', 'O', 'O', 'B-LOC']"
"['emma', 'works', 'near', 'madrid']","['B-PER', 'O', 'O', 'B-LOC']"
"['charlie', 'fake_date_9', 'in', 'canada']","['B-PER', 'B-DATE', 'O', 'B-LOC']"
"['fake_misc_15', 'fake_loc_10', 'near', 'fake_misc_66']","['B-MISC', 'I-LOC', 'O', 'I-MISC']"
"['fake_loc_47', 'fake_misc_66', 'fake_misc_61', 'word_73']","['I-LOC', 'I-MISC', 'B-MISC', 'O']"
"['fake_misc_40', 'lives', 'in', 'fake_date_23']","['B-MISC', 'O', 'O', 'I-DATE']"
"['fake_date_97', 'word_21', 'fake_per_97', 'fake_date_69']","['B-DATE', 'O', 'I-PER', 'B-DATE']"
"['fake_prod_19', 'word_29', 'fake_per_58', 'london']","['B-PROD', 'O', 'I-PER', 'B-LOC']"
"['sarah', 'was', 'born', 'in', 'tokyo']","['B-PER', 'O', 'O', 'O', 'B-LOC']"
"['fake_prod_74', 'fake_misc_82', 'from', 'canada']","['I-PROD', 'B-MISC', 'O', 'B-LOC']"
"['david', 'fake_misc_29', 'to', 'tokyo']","['B-PER', 'I-MISC', 'O', 'B-LOC']"
"['fake_date_81', 'fake_loc_97', 'in', 'new', 'york']","['I-DATE', 'B-LOC', 'O', 'B-LOC', 'I-LOC']"
"['michael', 'was', 'born', 'near', 'fake_misc_24']","['B-PER', 'O', 'O', 'O', 'I-MISC']"
"['fake_misc_9', 'fake_per_21', 'around', 'moscow']","['B-MISC', 'B-PER', 'O', 'B-LOC']"
"['bob', 'was', 'born', 'fake_date_34', 'beijing']","['B-PER', 'O', 'O', 'I-DATE', 'B-LOC']"
"['fake_loc_64', 'studies', 'from', 'moscow']","['I-LOC', 'O', 'O', 'B-LOC']"
"['fake_org_84', 'works', 'fake_prod_12', 'canada']","['I-ORG', 'O', 'I-PROD', 'B-LOC']"
"['michael', 'fake_per_75', 'fake_misc_20', 'fake_per_14', 'fake_date_27']","['B-PER', 'B-PER', 'I-MISC', 'I-PER', 'I-DATE']"
"['sarah', 'was', 'born', 'in', 'london']","['B-PER', 'O', 'O', 'O', 'B-LOC']"
"['michael', 'fake_org_15', 'fake_loc_56', 'madrid']","['B-PER', 'I-ORG', 'I-LOC', 'B-LOC']"
"['michael', 'lives', 'near', 'fake_misc_31']","['B-PER', 'O', 'O', 'I-MISC']"
"['mary', 'studies', 'from', 'madrid']","['B-PER', 'O', 'O', 'B-LOC']"
"['linda', 'works', 'fake_date_99', 'paris']","['B-PER', 'O', 'I-DATE', 'B-LOC']"
"['sarah', 'works', 'around', 'canada']","['B-PER', 'O', 'O', 'B-LOC']"
"['emma', 'fake_org_8', 'around', 'new', 'york']","['B-PER', 'I-ORG', 'O', 'B-LOC', 'I-LOC']"
"['fake_per_25', 'fake_misc_45', 'fake_date_77', 'moscow']","['B-PER', 'I-MISC', 'B-DATE', 'B-LOC']"
"['alice', 'lives', 'in', 'paris']","['B-PER', 'O', 'O', 'B-LOC']"
